CELL, rnc, site, sec, maxpwr(rnc), zaresmoc(rbs), zaresmoc+kabel+asc, pilot, kabel, pilot+kabel, rbsid, asc, ret, maxtilt, tilt, mechanical, bazna, sect, antena
MBETAA 11 MBETA 1 399 395 423 280 28 310 327 1 1 60 40 0 RBS3202 S1C1 5
MBETAB 11 MBETA 2 399 395 423 280 28 310 327 1 1 60 30 0 RBS3202 S2C1 5
MBETAC 11 MBETA 3 399 395 423 280 28 310 327 1 1 60 20 0 RBS3202 S3C1 5
MBETNAA 11 MBETNA 1 402 398 429 267 31 300 188 1 1 80 50 0 RBS3202 S1C1 2
MBETNAB 11 MBETNA 2 402 398 429 267 31 300 188 1 1 80 50 0 RBS3202 S2C1 2
MBETNAC 11 MBETNA 3 402 398 429 267 31 300 188 1 1 80 40 0 RBS3202 S3C1 2
MBEUROA 11 MBEURO 1 406 402 428 262 26 290 109 1 1 80 20 0 RBS3206M S1C1 2
MBEUROB 11 MBEURO 2 406 402 428 272 26 300 109 1 1 80 20 0 RBS3206M S2C1 4
MBEUROC 11 MBEURO 3 330 326 428 206 102 310 109 1 1 80 20 0 RBS3206M S3C1 4
MBEUROD 11 MBEURO 1 406 402 428 272 26 300 109 1 1 80 20 0 RBS3206M S1C2 2
MBEUROE 11 MBEURO 2 406 402 428 282 26 310 109 1 1 80 20 0 RBS3206M S2C2 4
MBEUROF 11 MBEURO 3 330 326 428 211 102 315 109 1 1 80 20 0 RBS3206M S3C2 4
MBISDRA 11 MBISDR 1 390 386 423 271 37 310 26 1 0 60 0 0 RBS3202 S1C1 3
MBISDRB 11 MBISDR 2 390 386 423 261 37 300 26 1 0 60 0 0 RBS3202 S2C1 3
MBISDRC 11 MBISDR 3 390 386 423 261 37 300 26 1 0 60 0 0 RBS3202 S3C1 3
MBLJUBA 11 MBLJUB 1 418 414 430 284 16 302 333 0 0 80 0 0 RBS3206M S1C1 4
MBLJUBB 11 MBLJUB 2 418 414 430 284 16 302 333 0 0 80 0 0 RBS3206M S2C1 4
MBLJUBC 11 MBLJUB 3 418 414 430 284 16 302 333 0 0 80 0 0 RBS3206M S3C1 4
MBLJUBD 11 MBLJUB 1 418 414 430 294 16 312 333 0 0 80 0 0 RBS3206M S1C2 4
MBLJUBE 11 MBLJUB 2 418 414 430 294 16 312 333 0 0 80 0 0 RBS3206M S2C2 4
MBLJUBF 11 MBLJUB 3 418 414 430 294 16 312 333 0 0 80 0 0 RBS3206M S3C2 4
MBMEGAA 11 MBMEGA 1 402 398 428 268 30 300 88 1 1 80 30 0 RBS3206 S1C1 2
MBMEGAB 11 MBMEGA 2 402 398 428 258 30 290 88 1 1 80 30 0 RBS3206 S2C1 2
MBMEGAC 11 MBMEGA 3 403 399 428 259 29 290 88 1 1 80 10 0 RBS3206 S3C1 2
MBMEGAD 11 MBMEGA 1 402 398 428 278 30 310 88 1 1 80 30 0 RBS3206 S1C2 2
MBMEGAE 11 MBMEGA 2 402 398 428 268 30 300 88 1 1 80 30 0 RBS3206 S2C2 2
MBMEGAF 11 MBMEGA 3 403 399 428 269 29 300 88 1 1 80 10 0 RBS3206 S3C2 2
MBOHOA 11 MBOHO 1 416 412 446 254 34 290 89 1 1 80 10 0 RBS3206 S1C1 2
MBOHOB 11 MBOHO 2 416 412 446 264 34 300 89 1 1 80 30 0 RBS3206 S2C1 2
MBOHOC 11 MBOHO 3 416 412 446 274 34 310 89 1 1 80 20 0 RBS3206 S3C1 2
MBRA 11 MBR 1 397 393 428 253 35 290 90 1 1 60 10 0 RBS3216 S1C1 3
MBRB 11 MBR 2 397 393 428 253 35 290 90 1 1 60 10 0 RBS3216 S2C1 3
MBRC 11 MBR 3 397 393 428 253 35 290 90 1 1 60 20 0 RBS3216 S3C1 3
MBRD 11 MBR 1 397 393 428 263 35 300 90 1 1 60 10 0 RBS3216 S1C2 3
MBRE 11 MBR 2 397 393 428 263 35 300 90 1 1 60 10 0 RBS3216 S2C2 3
MBRF 11 MBR 3 397 393 428 263 35 300 90 1 1 60 20 0 RBS3216 S3C2 3
MBREZA 11 MBREZ 1 395 391 423 266 32 300 239 1 1 60 20 0 RBS3202 S1C1 5
MBREZB 11 MBREZ 2 395 391 423 266 32 300 239 1 1 60 20 0 RBS3202 S2C1 5
MBREZC 11 MBREZ 3 395 391 423 256 32 290 239 1 1 60 20 0 RBS3202 S3C1 5
MBRTVA 11 MBRTV 1 414 410 429 269 19 290 240 1 1 60 30 0 RBS3202 S1C1 3
MBRTVB 11 MBRTV 2 411 407 429 276 22 300 240 1 1 60 40 0 RBS3202 S2C1 3
MBRTVC 11 MBRTV 3 411 407 429 276 22 300 240 1 1 60 40 0 RBS3202 S3C1 3
